발주번호,SKU ID,SKU 이름,확정수량
137228087,66358440,오아 히트워머 무선 온열 허리 찜질기 복부 배 마사지기 OMTM-004PK 핑크,1
137228087,67891311,오아 온열찜질기W 허리 배 어깨 복부 무릎 전기 찜질팩 베이지 OMTM-003BE,2
137228087,69766464,오아 큐브 멀티탭 PD35 고용량 4000W 콘센트 USB C타입 3구 멀티 어댑터 클라우디블루 1개,6
137228087,73893263,보아르 이지 전기포트 M1 접이식 분유포트 휴대용 미니 여행용 프리볼트 온도조절 커피포트 VPEP-006IV,49
137228087,73975553,오아 워터쉴드 크로스 다용도 수납 에어쿠션 스마트폰 방수팩 어비스블랙 1개,2
137228087,64778161,오아 베이직 휴대용 미니 헤어 뿌리 볼륨 빗고데기 블루 OSTR-002BL,15
137228087,34330469,오아 라운드 핸디팬 무선 휴대용 USB 초경량 미니 손 선풍기 베이지 OFN-046BE,1
137228087,55384739,오아 클린이포터블 전용 제트팁 2P 구성품 1세트 OET-069-OROWH,5
137228087,65179405,오아 포그밍L 온열 전기담요 OEBK-002BE 베이지 1800 x 1300 mm,2
137228087,55462718,오아 슬림에어 BLDC 헤어 고속 미니 드라이어 블랙 ODRY-002BK,1
137228087,12362063,보아르 에이블 듀얼 에어프라이어 23리터 스텐 오븐 에어프라이기 가정용 대용량 에어후라이기,11
137228087,53967042,보아르 파워스핀 소형 미니 화장실 무선 욕실청소기 화이트 VCVC-010WH,1
137228087,69772625,오아 클린이워터B-UV 휴대용 구강세정기 물치실 IPX7 방수 치아세정기 클라우디블루 OORL-018CB,5
137228087,68253037,오아 BLDC 헤어 드라이기 미니 블루 ODRY-008BL 1100W + 파우치,19
137228087,69772629,오아 클린이워터B-UV 휴대용 구강세정기 물치실 IPX7 방수 치아세정기 포그밀크 OORL-018FM,16
137228087,66417803,보아르 듀얼 히팅 에어프라이어8L 대용량 상하열선 투명 바스켓 에어프라이기 그릴 오븐형 에어후라이기 블랙 VAFR-004BK,4
137228087,70204974,오아 퀵맥 15W 맥세이프 초슬림 무선 충전 보조배터리 5000mAh 실버 OBAT-005SI,2
137116160,32324919,삼대오백 크레아틴 모노 하이드레이트 1통 300g,2560
137116160,65375214,삼대오백 EAA 블루베리 300g 1개,120
137116160,57706716,삼대오백 바이퍼 그린 제로음료 24개 355ml,48
137116160,55276087,삼대오백 EAA 아미노산 매실맛 300g 1개,360
137116160,68512634,삼대오백 크레아틴 모노 하이드레이트 정제 144g120정 1개,168
137116160,55275145,삼대오백 EAA 아미노산 요구르트맛 300g 1개,144
137115966,41910663,삼대오백 마그네슘 리커버리 웜업크림 발열 마사지 핫크림 오리지널 2개 100ml,4
137115966,68993861,삼대오백 트랜스폼 캡슐박스 조립형 알약 케이스 블랙 1개 FREE,4
137115966,66792779,삼대오백 마그네슘 리커버리 웜업 핫크림 프로 100ml 1개,24
